                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3565,                 1.9491,                 1.0417,                0.96415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094235,             0.00094235,             0.00094235
                     48,                 1.3672,                 1.9741,                 1.0727,                0.95491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093868,             0.00093868,             0.00093868
                     49,                 1.3819,                 1.9632,                 1.1114,                0.97805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093502,             0.00093502,             0.00093502
                     50,                 1.3176,                 2.1283,                 1.0211,                0.94394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093135,             0.00093135,             0.00093135
                     51,                 1.3179,                  1.903,                 0.9833,                0.92339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092769,             0.00092769,             0.00092769
                     52,                 1.3395,                 2.0614,                 1.0141,                0.93693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092402,             0.00092402,             0.00092402
                     53,                 1.2864,                 1.9621,                0.96563,                0.92099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092035,             0.00092035,             0.00092035
                     54,                  1.347,                 1.9617,                 1.0551,                0.95876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091669,             0.00091669,             0.00091669
                     55,                 1.3332,                 1.9954,                 1.0159,                0.93202,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091302,             0.00091302,             0.00091302
                     56,                 1.3718,                 2.0398,                 1.0904,                0.96281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090935,             0.00090935,             0.00090935
                     57,                 1.3367,                 1.8651,                 1.0494,                0.94922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090569,             0.00090569,             0.00090569
                     58,                 1.3217,                 1.9416,                 0.9628,                0.92922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090202,             0.00090202,             0.00090202
                     59,                 1.2799,                 1.9418,                0.97455,                0.93173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089835,             0.00089835,             0.00089835
                     60,                 1.3022,                 1.9506,                0.96735,                0.93297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089469,             0.00089469,             0.00089469
                     61,                 1.2805,                 1.9698,                0.97842,                0.91353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089102,             0.00089102,             0.00089102
                     62,                  1.303,                 1.9386,                0.98071,                0.95241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088736,             0.00088736,             0.00088736
                     63,                 1.3107,                 1.8712,                0.98022,                0.92585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088369,             0.00088369,             0.00088369
                     64,                 1.3232,                 1.8788,                 1.0129,                0.94469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088002,             0.00088002,             0.00088002
                     65,                 1.2963,                 1.9632,                0.97725,                0.91499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087636,             0.00087636,             0.00087636
                     66,                 1.2861,                 1.9911,                0.94289,                 0.9226,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087269,             0.00087269,             0.00087269
                     67,                 1.2508,                 1.9225,                0.91606,                 0.9115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086902,             0.00086902,             0.00086902
                     68,                 1.3071,                 1.9802,                0.97917,                0.94276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086536,             0.00086536,             0.00086536
                     69,                 1.2535,                 1.8269,                0.97224,                0.93974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086169,             0.00086169,             0.00086169
                     70,                 1.3144,                 1.8855,                0.96505,                0.92653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085803,             0.00085803,             0.00085803
                     71,                 1.2831,                 1.9382,                0.96209,                0.92608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085436,             0.00085436,             0.00085436
                     72,                  1.257,                 1.7667,                0.92238,                0.92056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085069,             0.00085069,             0.00085069
                     73,                 1.2361,                  1.818,                0.89555,                0.90675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084703,             0.00084703,             0.00084703
                     74,                  1.281,                 1.8106,                0.90989,                0.92302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084336,             0.00084336,             0.00084336
                     75,                 1.2936,                 1.8863,                0.95754,                0.92379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083969,             0.00083969,             0.00083969
                     76,                 1.2387,                 1.8328,                0.94684,                 0.9198,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083603,             0.00083603,             0.00083603
                     77,                 1.2617,                 1.8856,                0.91244,                0.91729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083236,             0.00083236,             0.00083236
                     78,                 1.2569,                 1.7766,                0.90465,                0.92268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082869,             0.00082869,             0.00082869
                     79,                 1.2091,                 1.7786,                0.87679,                 0.9055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082503,             0.00082503,             0.00082503
                     80,                 1.2516,                 1.9131,                0.91942,                0.91475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082136,             0.00082136,             0.00082136
                     81,                 1.1899,                 1.7775,                0.91907,                0.90748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008177,              0.0008177,              0.0008177
                     82,                 1.2338,                 1.7963,                0.93978,                0.92776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081403,             0.00081403,             0.00081403
                     83,                 1.2497,                 1.7568,                0.92206,                0.93364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081036,             0.00081036,             0.00081036
                     84,                 1.1617,                  1.723,                0.85863,                0.90648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008067,              0.0008067,              0.0008067
                     85,                 1.2604,                 1.8135,                0.94467,                0.92289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080303,             0.00080303,             0.00080303
                     86,                  1.211,                 1.7054,                0.89753,                0.91166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079936,             0.00079936,             0.00079936
                     87,                 1.2406,                 1.7468,                0.88568,                0.92135,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007957,              0.0007957,              0.0007957
                     88,                 1.2082,                 1.8885,                0.90082,                0.92114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079203,             0.00079203,             0.00079203
                     89,                 1.2427,                   1.81,                0.92356,                0.91649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078837,             0.00078837,             0.00078837
                     90,                 1.2448,                 1.8091,                0.92448,                0.94278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007847,              0.0007847,              0.0007847
                     91,                 1.2543,                 1.7895,                0.87375,                0.91565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078103,             0.00078103,             0.00078103
                     92,                 1.2043,                 1.7325,                0.90524,                0.92011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077737,             0.00077737,             0.00077737
                     93,                 1.1564,                 1.6803,                0.83182,                0.89758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007737,              0.0007737,              0.0007737
                     94,                 1.2505,                 1.7795,                0.88631,                0.90727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077003,             0.00077003,             0.00077003
                     95,                 1.1723,                 1.7024,                0.87626,                 0.8865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076637,             0.00076637,             0.00076637
                     96,                 1.1624,                 1.7164,                 0.8266,                0.88253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007627,              0.0007627,              0.0007627
                     97,                 1.2044,                 1.7752,                0.89713,                0.91826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075904,             0.00075904,             0.00075904
                     98,                 1.2006,                 1.7861,                0.94477,                0.92029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075537,             0.00075537,             0.00075537
                     99,                 1.1945,                  1.792,                0.87495,                0.91309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007517,              0.0007517,              0.0007517
                    100,                 1.2416,                 1.7921,                0.89662,                0.90481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00074804,             0.00074804,             0.00074804
                    101,                 1.1486,                 1.6812,                 0.8173,                0.88504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00074437,             0.00074437,             0.00074437
                    102,                 1.2107,                 1.7924,                0.89439,                0.90835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007407,              0.0007407,              0.0007407
                    103,                 1.1489,                 1.6544,                0.80357,                0.88845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073704,             0.00073704,             0.00073704
                    104,                 1.1723,                 1.7494,                0.85977,                0.91001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073337,             0.00073337,             0.00073337
                    105,                 1.2089,                 1.7733,                 0.8517,                0.91603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007297,              0.0007297,              0.0007297
                    106,                 1.1659,                 1.8156,                0.84755,                0.88705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00072604,             0.00072604,             0.00072604
                    107,                   1.22,                 1.7957,                0.88362,                  0.917,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00072237,             0.00072237,             0.00072237
                    108,                 1.1777,                 1.6829,                0.82333,                0.89705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071871,             0.00071871,             0.00071871
                    109,                 1.1592,                 1.7146,                0.87572,                0.90128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071504,             0.00071504,             0.00071504
                    110,                 1.2435,                 1.7721,                0.90464,                0.93881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071137,             0.00071137,             0.00071137
                    111,                 1.1597,                  1.696,                0.84278,                0.88603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070771,             0.00070771,             0.00070771
                    112,                 1.2093,                 1.7149,                0.82986,                0.89241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070404,             0.00070404,             0.00070404
                    113,                 1.1746,                   1.62,                0.80598,                0.89414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070037,             0.00070037,             0.00070037
                    114,                 1.1772,                 1.6822,                0.85272,                 0.8991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069671,             0.00069671,             0.00069671
                    115,                 1.1732,                 1.7818,                0.84066,                 0.8987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069304,             0.00069304,             0.00069304
                    116,                 1.1651,                 1.6484,                0.80595,                0.89104,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068938,             0.00068938,             0.00068938
                    117,                 1.2156,                 1.6575,                0.87604,                0.91212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068571,             0.00068571,             0.00068571
                    118,                 1.1875,                 1.8259,                 0.8626,                0.90575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068204,             0.00068204,             0.00068204
                    119,                 1.1383,                  1.627,                0.81925,                0.89931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067838,             0.00067838,             0.00067838
                    120,                 1.1512,                 1.7939,                0.86161,                0.89329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067471,             0.00067471,             0.00067471
